frequency,recency,T,monetary_value,proba_alive,Pred_future_trans,Val_moy_attendu,CLV_predict
3.0,709.0,829.0,1037.96,0.9999999993177004,0.1,1135.88,117.4
2.0,150.0,628.0,2626.03,0.9999999824412736,0.1,3013.13,291.02
6.0,700.0,1021.0,3588.49,0.9999999964187472,0.15,3748.91,539.3
3.0,810.0,839.0,1388.62,0.9999999998713909,0.1,1519.24,156.0
8.0,833.0,1018.0,3105.05,0.9999999986584254,0.18,3208.06,573.93
1.0,325.0,423.0,448.63,0.9999999989261485,0.09,607.04,53.23
5.0,664.0,697.0,2567.36,0.9999999998157607,0.16,2706.5,422.35
3.0,424.0,795.0,1765.79,0.9999999946519822,0.11,1931.59,204.22
4.0,768.0,936.0,2569.68,0.9999999990077928,0.12,2746.15,315.34
4.0,734.0,1042.0,4674.15,0.9999999975654148,0.11,4994.47,538.4
1.0,119.0,958.0,1166.88,0.9999999633351115,0.06,1572.34,93.09
4.0,508.0,719.0,2343.43,0.999999997869722,0.13,2504.43,331.89
2.0,312.0,639.0,2999.52,0.9999999949441758,0.1,3441.42,329.63
4.0,874.0,988.0,2098.12,0.9999999994633411,0.11,2242.35,249.51
2.0,309.0,713.0,1077.38,0.9999999930507169,0.09,1237.23,112.25
3.0,696.0,901.0,1864.5,0.9999999986703736,0.1,2039.51,201.26
2.0,824.0,1060.0,3029.91,0.9999999987807797,0.07,3476.27,252.84
2.0,732.0,1086.0,2649.24,0.9999999976782072,0.07,3039.74,217.85
2.0,241.0,713.0,870.74,0.9999999887101688,0.09,1000.26,90.75
7.0,951.0,1030.0,2865.11,0.9999999996519982,0.16,2974.29,477.01
2.0,461.0,582.0,2838.75,0.999999998984483,0.1,3257.06,325.96
3.0,485.0,780.0,1006.29,0.9999999967616306,0.11,1101.25,117.62
2.0,742.0,746.0,2884.05,0.9999999999812119,0.09,3309.01,293.32
4.0,627.0,896.0,1488.71,0.9999999976085014,0.12,1591.29,187.34
2.0,733.0,941.0,3857.56,0.9999999988145329,0.08,4425.37,345.36
2.0,635.0,883.0,4689.07,0.9999999982920114,0.08,5378.9,435.26
1.0,74.0,791.0,1949.22,0.9999999614260952,0.07,2623.76,172.87
2.0,688.0,1003.0,2632.11,0.9999999978716014,0.08,3020.1,227.06
3.0,588.0,1012.0,2797.86,0.9999999954427365,0.09,3059.92,282.26
4.0,644.0,1001.0,2861.95,0.9999999963766721,0.11,3058.39,337.69
2.0,692.0,803.0,2330.45,0.9999999993861841,0.09,2674.17,227.99
