Cust_id,frequency,recency,T,monetary_value
266783,3.0,709.0,829.0,1037.96
266784,2.0,150.0,628.0,2626.03
266785,6.0,700.0,1021.0,3588.49
266788,3.0,810.0,839.0,1388.62
266794,8.0,833.0,1018.0,3105.05
266799,1.0,325.0,423.0,448.63
266803,0.0,0.0,693.0,0.0
266804,0.0,0.0,147.0,0.0
266805,0.0,0.0,4.0,0.0
266806,5.0,664.0,697.0,2567.36
266807,3.0,424.0,795.0,1765.79
266809,4.0,768.0,936.0,2569.68
266810,4.0,734.0,1042.0,4674.15
266812,1.0,119.0,958.0,1166.88
266814,4.0,508.0,719.0,2343.43
266815,2.0,312.0,639.0,2999.52
266816,4.0,874.0,988.0,2098.12
266817,2.0,309.0,713.0,1077.38
266818,3.0,696.0,901.0,1864.5
266819,2.0,824.0,1060.0,3029.91
266820,2.0,732.0,1086.0,2649.24
266821,2.0,241.0,713.0,870.74
266822,7.0,951.0,1030.0,2865.11
266823,2.0,461.0,582.0,2838.75
266824,3.0,485.0,780.0,1006.29
266825,2.0,742.0,746.0,2884.05
266827,4.0,627.0,896.0,1488.71
266829,2.0,733.0,941.0,3857.56
266830,2.0,635.0,883.0,4689.07
266831,0.0,0.0,849.0,0.0
266833,1.0,74.0,791.0,1949.22
266835,2.0,688.0,1003.0,2632.11
266836,3.0,588.0,1012.0,2797.86
266838,0.0,0.0,511.0,0.0
266841,4.0,644.0,1001.0,2861.95
266842,2.0,692.0,803.0,2330.45
266843,4.0,683.0,955.0,1466.06
266844,1.0,393.0,655.0,2150.33
266845,1.0,182.0,1044.0,2055.3
266846,4.0,591.0,653.0,4214.75
266847,1.0,293.0,376.0,2834.32
266848,0.0,0.0,750.0,0.0
266849,1.0,4.0,1049.0,5105.1
266851,1.0,757.0,963.0,1303.9
266852,3.0,377.0,741.0,2086.24
266853,2.0,608.0,755.0,2345.92
266854,4.0,719.0,868.0,2644.82
266855,3.0,901.0,945.0,4040.62
266856,3.0,469.0,1052.0,3092.9
266857,4.0,753.0,755.0,2177.96
266858,1.0,509.0,839.0,5757.05
266860,1.0,401.0,670.0,3266.38
266861,0.0,0.0,226.0,0.0
266862,3.0,781.0,940.0,1854.19
266863,2.0,1051.0,1067.0,1251.97
266864,4.0,820.0,1031.0,3968.33
266865,4.0,626.0,1044.0,3806.72
266866,1.0,761.0,1071.0,1838.72
266867,3.0,808.0,1089.0,3605.98
266870,2.0,344.0,642.0,593.38
266872,1.0,289.0,1053.0,3507.27
266875,1.0,425.0,792.0,4120.54
266878,3.0,943.0,980.0,4005.99
266881,1.0,176.0,832.0,1120.47
266882,0.0,0.0,2.0,0.0
266883,5.0,840.0,946.0,2442.93
266885,3.0,530.0,925.0,1161.36
266886,0.0,0.0,248.0,0.0
266887,3.0,547.0,738.0,1822.14
266888,3.0,963.0,996.0,3349.99
266889,0.0,0.0,219.0,0.0
266891,1.0,433.0,523.0,3182.4
266892,2.0,670.0,965.0,1486.78
266894,1.0,781.0,841.0,4038.78
266895,5.0,877.0,965.0,3303.51
266896,3.0,734.0,905.0,2424.0
266897,0.0,0.0,702.0,0.0
266900,2.0,624.0,1070.0,3716.67
266901,3.0,794.0,832.0,2190.11
266902,2.0,199.0,871.0,2217.74
266903,1.0,398.0,586.0,4915.04
266904,4.0,416.0,1032.0,1986.24
266906,4.0,927.0,990.0,1959.99
266907,1.0,411.0,848.0,1720.48
266910,5.0,928.0,1001.0,1908.78
266911,1.0,451.0,754.0,7618.98
266915,3.0,241.0,843.0,3037.64
266916,4.0,726.0,916.0,4195.96
266917,3.0,829.0,833.0,3298.79
266918,1.0,186.0,296.0,790.08
266919,4.0,361.0,443.0,2214.14
266920,4.0,492.0,670.0,4332.15
266921,2.0,403.0,696.0,1973.53
266922,1.0,313.0,845.0,3186.82
266923,4.0,482.0,494.0,2691.5
266927,0.0,0.0,792.0,0.0
266929,0.0,0.0,457.0,0.0
266930,1.0,367.0,987.0,3239.86
266931,3.0,804.0,860.0,2382.75
266934,1.0,450.0,478.0,3569.15
266935,2.0,880.0,947.0,1132.07
266936,2.0,68.0,503.0,4701.22
266937,4.0,772.0,864.0,1277.66
266939,5.0,582.0,745.0,3272.35
266940,1.0,23.0,93.0,941.46
266941,0.0,0.0,922.0,0.0
266942,3.0,733.0,808.0,3605.98
266943,1.0,28.0,526.0,948.09
266944,1.0,909.0,988.0,4617.8
266945,6.0,622.0,850.0,2411.29
266950,4.0,955.0,1045.0,3135.44
266952,5.0,1037.0,1090.0,4258.23
266953,4.0,927.0,1015.0,4789.9
266956,1.0,170.0,318.0,2742.61
266957,2.0,273.0,328.0,4163.09
266958,2.0,947.0,986.0,1980.71
266959,2.0,247.0,442.0,3147.04
266960,3.0,609.0,1011.0,1518.64
266964,1.0,339.0,578.0,1505.01
266966,5.0,924.0,990.0,2564.48
266972,3.0,686.0,710.0,3359.2
266974,1.0,396.0,655.0,5189.08
266975,2.0,739.0,826.0,6226.67
266976,1.0,313.0,484.0,671.84
266978,1.0,318.0,377.0,351.39
266980,0.0,0.0,82.0,0.0
266982,0.0,0.0,465.0,0.0
266986,4.0,779.0,1001.0,2061.65
266987,3.0,853.0,962.0,4379.12
266989,0.0,0.0,40.0,0.0
266990,1.0,635.0,857.0,664.1
266991,0.0,0.0,468.0,0.0
266992,4.0,631.0,957.0,1797.56
266993,0.0,0.0,206.0,0.0
266997,2.0,859.0,982.0,3761.97
266998,3.0,285.0,822.0,2933.78
266999,2.0,427.0,725.0,4662.55
267000,7.0,581.0,778.0,3561.73
267001,1.0,148.0,265.0,1979.06
267002,5.0,741.0,1031.0,827.87
267004,1.0,117.0,150.0,335.92
267005,3.0,558.0,802.0,1603.72
267008,1.0,398.0,720.0,2117.18
267010,2.0,379.0,462.0,2543.71
267012,0.0,0.0,434.0,0.0
267014,7.0,1033.0,1070.0,3848.56
267015,2.0,492.0,683.0,4469.17
267016,5.0,856.0,920.0,1619.93
267017,4.0,644.0,805.0,3166.38
267018,1.0,792.0,1011.0,501.67
267019,3.0,765.0,810.0,1913.49
267020,7.0,810.0,977.0,2953.03
267021,2.0,683.0,843.0,3480.2
267022,0.0,0.0,167.0,0.0
267023,4.0,859.0,1053.0,1868.28
267024,7.0,714.0,935.0,2027.68
267025,6.0,690.0,953.0,3257.72
267028,3.0,734.0,999.0,3703.22
267030,2.0,456.0,1021.0,1284.56
267032,4.0,758.0,785.0,2459.73
267033,1.0,466.0,686.0,2091.76
267034,1.0,611.0,898.0,6922.82
267037,3.0,275.0,799.0,3206.34
267042,4.0,758.0,920.0,1515.78
267043,2.0,869.0,1009.0,3217.21
267044,0.0,0.0,860.0,0.0
267045,7.0,1070.0,1085.0,2406.22
267046,1.0,807.0,859.0,895.05
267048,4.0,689.0,984.0,3445.94
267049,4.0,202.0,303.0,2515.53
267051,3.0,723.0,1043.0,1124.52
267053,5.0,879.0,921.0,1568.0
267056,2.0,502.0,889.0,2878.52
267058,3.0,512.0,764.0,3924.59
267061,1.0,307.0,316.0,4084.08
267066,2.0,291.0,1090.0,3908.94
267067,3.0,728.0,784.0,2535.98
267068,5.0,719.0,962.0,3250.47
267072,2.0,408.0,544.0,2683.49
267073,4.0,822.0,926.0,2608.63
267075,4.0,767.0,1013.0,2204.48
267076,2.0,405.0,771.0,1268.54
267078,0.0,0.0,35.0,0.0
267081,2.0,488.0,972.0,2522.16
267083,1.0,427.0,967.0,2890.68
267084,4.0,663.0,723.0,1763.3
267085,1.0,616.0,819.0,1666.34
267088,2.0,724.0,939.0,2617.19
267090,1.0,843.0,845.0,634.27
267091,0.0,0.0,357.0,0.0
267092,1.0,127.0,445.0,909.42
267093,2.0,969.0,1067.0,3771.36
267094,1.0,52.0,1071.0,888.42
267097,2.0,362.0,812.0,5407.32
267099,5.0,503.0,650.0,1085.99
267100,2.0,816.0,990.0,1814.41
267101,0.0,0.0,992.0,0.0
267102,2.0,698.0,1025.0,1585.68
267103,6.0,749.0,842.0,2422.16
267104,1.0,487.0,674.0,4452.04
267105,3.0,284.0,526.0,3300.27
267106,1.0,17.0,764.0,2742.61
267107,2.0,261.0,592.0,2005.57
267108,2.0,554.0,724.0,6743.82
267110,4.0,591.0,1002.0,3474.67
267112,3.0,760.0,904.0,4676.36
267113,2.0,646.0,883.0,1388.98
267116,1.0,628.0,1057.0,727.09
267117,4.0,714.0,941.0,3576.88
267119,2.0,779.0,1015.0,960.24
267122,2.0,666.0,992.0,4853.16
267124,2.0,574.0,1094.0,3505.06
267125,6.0,569.0,889.0,2285.51
267126,5.0,881.0,949.0,2758.52
267129,2.0,575.0,847.0,1893.97
267134,6.0,982.0,988.0,2740.77
267135,2.0,944.0,1010.0,691.18
267139,2.0,541.0,552.0,1482.91
267140,0.0,0.0,826.0,0.0
267143,4.0,626.0,841.0,4785.48
267145,0.0,0.0,726.0,0.0
267146,2.0,219.0,472.0,4611.16
267147,1.0,338.0,618.0,331.5
267148,4.0,686.0,689.0,1248.1
267149,1.0,360.0,918.0,6077.5
267151,5.0,631.0,818.0,4742.44
267152,6.0,800.0,871.0,2326.76
267155,0.0,0.0,44.0,0.0
267156,2.0,878.0,927.0,2718.85
267157,2.0,313.0,1027.0,2839.85
267158,6.0,694.0,982.0,2080.35
267160,4.0,377.0,619.0,2321.88
267161,0.0,0.0,1042.0,0.0
267162,2.0,247.0,375.0,1754.74
267163,7.0,744.0,908.0,2696.83
267164,3.0,604.0,978.0,2730.09
267165,4.0,768.0,993.0,4329.94
267166,0.0,0.0,881.0,0.0
267167,4.0,886.0,905.0,1716.06
267169,5.0,695.0,876.0,1275.61
267170,1.0,618.0,997.0,8105.18
267172,7.0,452.0,743.0,2324.45
267173,3.0,805.0,945.0,1153.62
267174,2.0,441.0,609.0,1450.31
267176,3.0,717.0,1016.0,926.73
267177,2.0,690.0,774.0,5746.0
267178,1.0,510.0,535.0,3288.48
267179,0.0,0.0,436.0,0.0
267180,3.0,379.0,457.0,1090.64
267181,1.0,187.0,886.0,175.7
267182,3.0,613.0,751.0,1231.71
267183,4.0,449.0,554.0,2518.3
267188,3.0,396.0,407.0,944.41
267189,3.0,602.0,633.0,1506.48
267191,2.0,508.0,680.0,358.57
267192,1.0,136.0,395.0,475.15
267193,1.0,373.0,462.0,2660.84
267196,1.0,248.0,610.0,1975.74
267199,3.0,875.0,912.0,2174.64
267203,5.0,379.0,381.0,1195.83
267205,3.0,421.0,770.0,3289.95
